semantics_id,sentence_id,hanji,lomaji,mandarin
1045,46344,"""伊升起來做主任矣。""","""I sing khí-lâi tsò tsú-jīm--ah.""","""他升遷當主任了。"""
1045,46345,"""升官發財""","""sing-kuann huat-tsâi""","""升官發財"""
1046,46346,"""午時""","""gōo-sî""","""上午十一點到下午一點"""
1047,46347,"""今年是壬午年。""","""Kin-nî sī jîm-ngóo nî.""","""今年是壬午馬年。"""
1048,46348,"""午時""","""ngóo-sî""","""午時"""
1049,46349,"""中午""","""tiong-ngóo""","""中午"""
1050,46350,"""解厄""","""kái-eh""","""解除災難"""
1051,46351,"""朋友""","""pîng-iú""","""朋友"""
1052,46352,"""反色""","""huán-sik""","""變顏色"""
1052,46353,"""反種""","""huán-tsíng""","""變種"""
1053,46354,"""反倒轉來""","""huán-tò-tńg--lâi""","""反而"""
1054,46355,"""造反""","""tsō-huán""","""造反"""
1054,46356,"""走反""","""tsáu-huán""","""逃避戰亂"""
1055,46357,"""反對""","""huán-tuì""","""反對"""
1055,46358,"""反背""","""huán-puē""","""背叛"""
1056,46359,"""反過來洗另外一面。""","""Píng--kuè-lâi sé līng-guā tsi̍t bīn.""","""翻過來洗另外一邊。"""
1056,46360,"""反身""","""píng sin""","""翻轉身體"""
1057,46361,"""反車""","""píng-tshia""","""翻車"""
1058,46364,"""反字典""","""píng jī-tián""","""翻字典"""
1059,46363,"""袋仔內反一寡銀角仔出來。""","""Tē-á-lāi píng tsi̍t-kuá gîn-kak-á tshut--lâi.""","""袋子內翻一些零錢出來。"""
1060,46362,"""伊真𠢕反變，生理愈做愈大。""","""I tsin gâu píng-pìnn, sing-lí jú tsò jú tuā.""","""他善於籌劃，生意越做越大。"""
1062,46365,"""天河""","""thian-hô""","""天河"""
1062,46366,"""天堂""","""thian-tông""","""天堂"""
1063,46367,"""順天者存，逆天者亡。""","""Sūn thian--tsiá tsûn, gi̍k thian--tsiá bông.""","""順天者存，逆天者亡。"""
1064,46368,"""天神""","""thian-sîn""","""天神"""
1065,46369,"""天天醉""","""thian-thian tsuì""","""天天醉"""
1066,46370,"""天災""","""thian-tsai""","""天災"""
1066,46371,"""天性""","""thian-sìng""","""天性"""
1067,46372,"""天頂""","""thinn-tíng""","""天上"""
1068,46373,"""人咧做，天咧看。""","""Lâng teh tsò, thinn teh khuànn.""","""人在做，天在看。即舉頭三尺有神明，勸人不可做虧心事。"""
1069,46374,"""落雨天""","""lo̍h-hōo-thinn""","""下雨天"""
1070,46375,"""太厲害""","""thài lī-hāi""","""非常厲害"""
1071,46376,"""太夫人""","""thài-hu-jîn""","""古時候對他人母親的尊稱"""
1071,46377,"""太后""","""thài-hiō""","""尊稱皇帝的母親"""
1072,46378,"""大丈夫""","""tāi-tiōng-hu""","""有志氣而勇敢剛毅的男子"""
1073,46379,"""夫君""","""hu-kun""","""夫君"""
1073,46380,"""我夫""","""ngóo hu""","""我丈夫"""
1074,46381,"""車夫""","""tshia-hu""","""車伕"""
1075,46382,"""千夫所指""","""Tshian hu sóo tsí""","""千夫所指"""
1076,46383,"""時機䆀䆀，錢愈趁愈少。""","""Sî-ki bái-bái, tsînn jú thàn jú tsió.""","""局勢不好，錢愈賺愈少。"""
1078,46384,"""三尺""","""sann tshioh""","""約一公尺的長度"""
1079,46385,"""布尺""","""pòo-tshioh""","""布尺"""
1080,46386,"""腰尺""","""io-tshioh""","""豬的胰臟"""
1081,46387,"""廿幾歲當少年。""","""Jia̍p-kuí huè tng siàu-liân.""","""二十來歲正當年輕。"""
1082,46388,"""引導""","""ín-tō""","""引導"""
1083,46389,"""引起""","""ín-khí""","""引起"""
1083,46390,"""引誘""","""ín-iú""","""引誘"""
1084,46391,"""心臟""","""sim-tsōng""","""心臟"""
1085,46392,"""有喙無心""","""ū-tshuì-bô-sim""","""有口無心"""
1086,46393,"""歹心""","""pháinn-sim""","""壞心"""
1086,46394,"""好心""","""hó-sim""","""好心"""
1087,46395,"""信心""","""sìn-sim""","""信心"""
1087,46396,"""死心""","""sí-sim""","""死心"""
1088,46397,"""你若是有心欲做，就一定會成功。""","""Lí nā-sī ū-sim beh tsò, tō it-tīng ē sîng-kong.""","""你如果有心要做，就一定會成功。"""
1089,46398,"""菜心""","""tshài-sim""","""菜心"""
1089,46399,"""石磨仔心""","""tsio̍h-bō-á-sim""","""石磨的中央"""
1090,46400,"""門戶""","""mn̂g-hōo""","""門戶"""
1091,46401,"""家家戶戶""","""ke-ke-hōo-hōo""","""家家戶戶"""
1092,46402,"""咱規庄頭攏總有五百戶。""","""Lán kui tsng-thâu lóng-tsóng ū gōo-pah hōo.""","""我們整個村子裡頭總共有五百戶人家。"""
1094,46403,"""烏手""","""oo-tshiú""","""機械修護工人"""
1095,46404,"""去予伊趁一手去。""","""Khì hōo i thàn tsi̍t tshiú--khì.""","""讓他賺了一筆。"""
1096,46405,"""一支喙""","""tsi̍t ki tshuì""","""一張嘴"""
1096,46406,"""一支鼻""","""tsi̍t ki phīnn""","""一個鼻子"""
1097,46407,"""語文""","""gí-bûn""","""語文"""
1097,46408,"""詩文""","""si-bûn""","""詩文"""
1098,46409,"""半文半白""","""puàn bûn puàn pe̍h""","""文言與白話交雜"""
1099,46410,"""伊講話真文。""","""I kóng-uē tsin bûn.""","""他說話用語很文雅。"""
1100,46411,"""三斗米""","""sann táu bí""","""三斗米"""
1101,46412,"""飯斗""","""pn̄g-táu""","""飯桶"""
1101,46413,"""喙下斗""","""tshuì-ē-táu""","""下巴"""
1102,59792,"""有一斗""","""ū tsi̍t táu""","""有一次"""
1103,46414,"""頭家，西瓜一斤是偌濟錢？""","""Thâu-ke, si-kue tsi̍t kin sī guā-tsē tsînn?""","""老闆，西瓜一斤多少錢？"""
1104,46415,"""藥方""","""io̍h-hng""","""藥方"""
1104,46416,"""偏方""","""phian-hng""","""偏方"""
1105,46417,"""地方""","""tē-hng""","""地方"""
1106,46419,"""東方""","""tang-hong""","""東方"""
1106,46420,"""四方""","""sù-hong""","""四方"""
1107,46418,"""教子有方""","""kàu tsú iú hong""","""教子有方"""
1108,46421,"""出日""","""tshut-ji̍t""","""出太陽"""
1109,46422,"""一日""","""tsi̍t ji̍t""","""一天"""
1110,46423,"""臺、日交流""","""Tâi, Ji̍t kau-liû""","""臺、日交流"""
1111,46424,"""日月""","""ji̍t gua̍t""","""日月"""
1112,46425,"""阿月""","""A-gua̍t""","""阿月"""
1113,46426,"""月娘""","""gue̍h-niû""","""月亮"""
1114,46427,"""大月""","""tuā-gue̍h""","""大月"""
1115,46428,"""月餅""","""gue̍h-piánn""","""月餅"""
1115,46429,"""月琴""","""gue̍h-khîm""","""月琴"""
1116,46430,"""樹木""","""tshiū-ba̍k""","""樹木"""
1117,46431,"""做木的""","""tsò-ba̍k--ê""","""木匠"""
1118,46432,"""草木""","""tshó-bo̍k""","""草木"""
1118,46433,"""木本""","""bo̍k-pún""","""木本"""
1119,46434,"""木材""","""bo̍k-tsâi""","""木材"""
